Date, Open,High, Low, Close, Volume
17-Sep-13,151.82,152.7,150.35,151.81,3.14B
18-Sep-13,151.43,151.74,149.78,150.4,2.81B
19-Sep-13,153.98,159.93,153.98,157.49,5.93B
20-Sep-13,156.96,157.43,154.83,154.83,2.71B
23-Sep-13,153.15,153.95,152.09,153.95,1.95B
24-Sep-13,153.19,154.13,149.34,149.84,2.53B
25-Sep-13,147.41,149.49,145.95,147.86,2.00B
26-Sep-13,147.75,150.45,147.61,148.11,2.43B
27-Sep-13,149.02,149.85,148.25,148.94,1.76B
30-Sep-13,147.73,148.1,145.13,145.16,1.94B
1-Oct-13,145.29,147.24,145.24,146.13,2.06B
2-Oct-13,146.94,149.06,146.93,147.42,2.06B
3-Oct-13,147.73,149.07,147.69,148.57,1.70B
4-Oct-13,148.33,148.38,146.8,147.46,1.50B
7-Oct-13,147.49,148.18,146.23,146.92,1.99B
8-Oct-13,146.19,148.81,146.16,148.47,2.13B
9-Oct-13,148.37,150.2,147.86,149.82,2.33B
10-Oct-13,150.82,151.47,150.29,150.58,2.66B
11-Oct-13,152.01,152.89,151.43,152.26,2.20B
16-Oct-13,152.21,152.46,150.71,151.28,1.69B
17-Oct-13,152.65,153.52,151.41,152.54,3.16B
18-Oct-13,152.56,153.86,151.78,153.86,2.71B
21-Oct-13,154.31,155.11,153.71,154.93,2.79B
22-Oct-13,153.88,154.34,151.64,152.13,1.94B
23-Oct-13,152.85,156.3,152.85,153.18,3.12B
24-Oct-13,152.68,154.56,152.47,154.54,3.22B
25-Oct-13,154.04,154.92,153.15,153.71,2.61B
28-Oct-13,154.28,154.9,153.66,154.24,2.46B
29-Oct-13,154.19,154.5,152.83,153.6,2.08B
30-Oct-13,153.63,154.13,152.46,153.86,2.17B
31-Oct-13,152.23,152.61,150.3,151.31,2.61B
1-Nov-13,150.1,151.78,148.73,148.73,2.53B
4-Nov-13,148.59,149.37,147.75,148.55,1.53B
6-Nov-13,148.35,149.53,148.26,149.53,1.78B
7-Nov-13,149.72,151.35,149.59,150.93,2.19B
8-Nov-13,150.18,151.28,149.59,151.03,2.45B
11-Nov-13,150.66,151.19,149.63,149.85,2.43B
12-Nov-13,150.24,150.47,147.78,148.25,2.35B
13-Nov-13,147.54,147.54,144.79,145.36,2.23B
14-Nov-13,146.13,147.83,146.13,147.22,2.56B
15-Nov-13,147.77,148.46,145.29,145.6,2.34B
18-Nov-13,146.45,148.44,146.44,148.13,2.01B
19-Nov-13,148.07,149.09,147.18,148.74,2.07B
20-Nov-13,149.09,149.12,146.26,146.76,1.93B
21-Nov-13,146.12,146.47,145.1,146.11,1.65B
22-Nov-13,146.95,147.32,145.17,145.54,1.55B
25-Nov-13,145.48,146.21,145.23,145.62,1.59B
26-Nov-13,145.42,145.56,141.79,141.95,2.72B
27-Nov-13,142.96,143.47,141.6,143.09,1.77B
28-Nov-13,143.56,143.92,141.43,142.43,1.80B
29-Nov-13,141.81,143.03,141.75,143.03,1.49B
2-Dec-13,143.38,145.87,143.23,145.48,2.77B
3-Dec-13,145.29,145.31,143.28,143.84,2.08B
4-Dec-13,143.07,143.22,142.38,142.38,1.80B
5-Dec-13,142.28,142.44,140.43,141.69,1.93B
6-Dec-13,141.16,141.25,140.23,140.8,2.00B
9-Dec-13,141.65,142.6,141.32,141.98,2.00B
10-Dec-13,142.62,144.13,142.43,144.04,2.32B
11-Dec-13,144.01,144.23,142.4,143.56,2.14B
12-Dec-13,142.32,142.91,141.67,141.68,2.04B
13-Dec-13,141.88,141.88,139.92,140.14,1.61B
16-Dec-13,139.6,139.82,137.95,138.51,1.74B
17-Dec-13,139.31,140.78,139.25,139.86,1.89B
18-Dec-13,140.34,141.24,139.63,140.71,1.69B
19-Dec-13,141.75,142.86,141.19,142.03,1.88B
20-Dec-13,142.06,142.13,140.27,140.97,1.64B
23-Dec-13,141.16,141.27,139.18,140.51,1.25B
24-Dec-13,140.74,141.58,140.19,141.42,1.20B
27-Dec-13,141.65,142.55,141.64,141.84,1.35B
30-Dec-13,142.76,143.71,142.43,143.71,1.74B
1-Jan-14,142.76,143.71,142.43,143.71,0
2-Jan-14,144.43,145.71,144.16,145.61,1.61B
3-Jan-14,144.56,144.64,143.01,143.3,1.48B
6-Jan-14,143.68,143.68,141.04,141.82,1.24B
7-Jan-14,141.87,142.06,140.31,140.31,1.57B
8-Jan-14,140.56,141.31,139.62,141.14,1.64B
9-Jan-14,141.1,141.56,140.63,140.8,1.93B
